"VGR des Bundes - Arbeitnehmerentgelt, Löhne und Gehälter
(Inländerkonzept): Deutschland, Jahre",,,,,,,,,,,
Volkswirtschaftliche Gesamtrechnungen des Bundes,,,,,,,,,,,
Deutschland,,,,,,,,,,,
Gegenstand der Nachweisung,Einheit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Arbeitnehmerentgelt mtl. je Arbeitn.,EUR,3448,3531,3632,3747,3872,3883,4008,4184,4428,4663
             Bruttolöhne u. -geh. mtl. je Arbeitn.,EUR,2843,2918,3001,3101,3199,3192,3300,3445,3667,3866
             Nettolöhne u. -geh. mtl. je Arbeitn.,EUR,1932,1980,2032,2099,2176,2179,2263,2355,2555,2700
,,,,,,,,,,,
______________,,,,,,,,,,,
,,,,,,,,,,,
"© Statistisches Bundesamt (Destatis), 2025 | Stand: 12.06.2025 / 01:34:18",,,,,,,,,,,
